status,Short name,Next,Parent,Contest ID,Full name,Date,Location,Venue,Web,Scoreboard,Frozen SB,Standings,Rankings,ICPC standings,Any
,nordic-2007,nordic-2008,nwerc-2007,1226,2007 Nordic Collegiate Programming Contest,2007-10-06,,,https://nordic.icpc.io/ncpc2007/,https://www.csc.kth.se/contest/ncpc/2007/standings/,,,,,Yes
,nordic-2006,nordic-2007,nwerc-2006,1060,2006 Nordic Collegiate Programming Contest,2006-09-30,,,https://nordic.icpc.io/ncpc2006/,https://www.csc.kth.se/contest/ncpc/2006/ncpc.html,,,,,Yes
,nordic-2005,nordic-2006,nwerc-2005,1066,2005 Nordic Collegiate Programming Contest,2005-10-01,,,https://nordic.icpc.io/ncpc2005/,https://web.archive.org/web/20060105025117/http://www.nada.kth.se/contest/ncpc/2005/final/ncpc.html,,,,,Yes
,nordic-2004,nordic-2005,nwerc-2004,n/a,,2004-10-02,,,,https://www.ida.liu.se/projects/progcontest/progsm/2004/nmsm2004-summary.html,,,,,Yes
,nordic-2003,nordic-2004,nwerc-2003,n/a,,2003-09-27,,,,https://www.ida.liu.se/projects/progcontest/progsm/2003/prognm2003-final.html,,,,,Yes
,nordic-2002,nordic-2003,nwerc-2002,n/a,,2002-09-28,,,https://www.ida.liu.se/projects/progcontest/progsm/2002/,https://www.ida.liu.se/projects/progcontest/progsm/2002/,,,,,Yes
,sweden-2001,nordic-2002,nwerc-2001,n/a,,2001-10-06,,,https://fileadmin.cs.lth.se/contest/c01/,https://fileadmin.cs.lth.se/contest/c01/,,,,,Yes
,sweden-2000,sweden-2001,nwerc-2000,n/a,,2000-09-30,,,https://fileadmin.cs.lth.se/contest/c00/,https://fileadmin.cs.lth.se/contest/c00/,,,,,Yes
,sweden-1999,sweden-2000,nwerc-1999,n/a,,1999-09-25,,,https://fileadmin.cs.lth.se/contest/c99/,https://fileadmin.cs.lth.se/contest/c99/,,,,,Yes
,sweden-1998,sweden-1999,nwerc-1998,n/a,,1998-09-26,,,https://fileadmin.cs.lth.se/contest/c98/,https://fileadmin.cs.lth.se/contest/c98/,,,,,Yes
,sweden-1997,sweden-1998,nwerc-1997,pre-cms,,1997-09-27,,,https://fileadmin.cs.lth.se/contest/c97/,https://fileadmin.cs.lth.se/contest/c97/,,,,,Yes
,sweden-1996,sweden-1997,nwerc-1996,pre-cms,Svenskt mästerskap 1996,1996-09-28,,,https://fileadmin.cs.lth.se/contest/c96/,https://fileadmin.cs.lth.se/contest/c96/,,,,,Yes
